Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews,Column1,Column2,Column3
2296012,Roadster,Bottom Wear,jeans,Men,824,1499,45% OFF,"28, 30, 32, 34, 36",3.9,999,45%,OFF,674.55
13780156,LOCOMOTIVE,Bottom Wear,track-pants,Men,517,1149,55% OFF,"S, M, L, XL",4,999,55%,OFF,631.95
11895958,Roadster,Topwear,shirts,Men,629,1399,55% OFF,"38, 40, 42, 44, 46, 48",4.3,999,55%,OFF,769.45
4335679,Zivame,Lingerie & Sleep Wear,shapewear,Women,893,1295,31% OFF,"S, M, L, XL, XXL",4.2,999,31%,OFF,401.45
11690882,Roadster,Western,tshirts,Women,,599,35% OFF,"XS, S, M, L, XL",4.2,999,35%,OFF,209.65
2490950,Mast & Harbour,Western,tops,Women,,599,40% OFF,"XS, S, M, L, XL",4.4,999,40%,OFF,239.6
6744434,HIGHLANDER,Bottom Wear,trousers,Men,599,1499,60% OFF,"30, 32, 34, 36",3.9,998,60%,OFF,899.4
8439415,Mayra,Western,tops,Women,,1395,58% OFF,"S, M, L, XL",3.7,998,58%,OFF,809.1
17381394,Roadster,Western,tshirts,Women,,1098,,"XS, S, M, L, XL",4.3,997,,, 
2359257,HERE&NOW,Bottom Wear,jeans,Men,,2749,,"28, 30, 32, 34, 36",3.5,996,,, 
7695793,HRX by Hrithik Roshan,Sports Wear,tights,Men,1214,2699,55% OFF,"S, M, L, XL, XXL",4.4,996,55%,OFF,1484.45
10307375,Roadster,Topwear,tshirts,Men,,699,,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.1,996,,, 
12873874,Anubhutee,Indian Wear,kurta-sets,Women,1019,3399,70% OFF,"S, M, L, XL, XXL",4.2,996,70%,OFF,2379.3
11634538,Athena,Western,jumpsuit,Women,,2499,50% OFF,"XS, S, M, L, XL",4.3,996,50%,OFF,1249.5
2312181,Roadster,Western,tshirts,Women,,799,60% OFF,"XS, S, M, L, XL",4,996,60%,OFF,479.4
13842386,HIGHLANDER,Topwear,shirts,Men,516,1099,53% OFF,"39, 40, 42, 44",4.2,995,53%,OFF,582.47
10473520,Vishudh,Indian Wear,kurtas,Women,696,1699,59% OFF,"S, M, L, XL, XXL",4.2,995,59%,OFF,1002.41
10561392,Sangria,Plus Size,kurta-sets,Women,,3999,,"XS, S, M, L, XL, XXL, 3XL",4.3,995,,, 
12391750,Tokyo Talkies,Western,trousers,Women,,2149,61% OFF,"28, 30, 32, 34",4.1,995,61%,OFF,1310.89
2522986,DressBerry,Western,tshirts,Women,,999,75% OFF,"XS, S, M, L, XL",4.3,995,75%,OFF,749.25
17385142,Roadster,Western,tshirts,Women,,1298,,"XS, S, M, L, XL",4.4,994,,, 
12153330,Anouk,Indian Wear,kurtas,Women,719,1599,55% OFF,"XS, S, M, L, XL, XXL",3.8,993,55%,OFF,879.45
1864573,Enamor,Lingerie & Sleep Wear,bra,Women,,849,,"S, M, L, XL",4.2,993,,, 
13205276,all about you,Western,shirts,Women,,1499,50% OFF,"XS, S, M, L, XL",4.2,993,50%,OFF,749.5
11535928,KASSUALLY,Western,tops,Women,,1299,62% OFF,"XS, S, M, L, XL, XXL",4.3,992,62%,OFF,805.38
6552977,RARE,Western,tops,Women,,1299,57% OFF,"S, M, L, XL",4.2,991,57%,OFF,740.43
9476129,Zastraa,Western,trousers,Women,,2699,70% OFF,"26, 28, 30, 32, 34, 36",4.1,991,70%,OFF,1889.3
2017530,WISSTLER,Western,shorts,Women,,899,61% OFF,"26, 28, 30, 32, 34, 36",4,991,61%,OFF,548.39
11173948,Sangria,Plus Size,kurtas,Women,359,899,"60% OFF, Hurry*","XS, S, M, L, XL, XXL, 3XL",4,990,60%,OFF,539.4
11118428,Roadster,Western,shorts,Women,,1199,55% OFF,"26, 28, 30, 32, 34, 36",4.3,990,55%,OFF,659.45
17383362,Roadster,Western,tshirts,Women,,1598,50% OFF,"L, M, S, XS, XL",4.2,990,50%,OFF,799
9971493,Vishudh,Western,dresses,Women,,2349,65% OFF,"S, M, L, XL, XXL",4.4,990,65%,OFF,1526.85
7846797,Cottinfab,Western,jumpsuit,Women,,2449,65% OFF,"S, M, L, XL, XXL",4.3,990,65%,OFF,1591.85
10771696,QUIERO,Western,jumpsuit,Women,,2959,55% OFF,"XS, S, M, L, XL",4.3,990,55%,OFF,1627.45
10969948,Roadster,Western,tshirts,Women,,899,60% OFF,"XS, S, M, L, XL",4.1,990,60%,OFF,539.4
11938872,ELEVANTO,Lingerie & Sleep Wear,bath-robe,Women,489,999,51% OFF,Onesize,4.2,989,51%,OFF,509.49
14154054,Tokyo Talkies,Western,track-pants,Women,,1199,49% OFF,"S, M, L, XL",4.3,989,49%,OFF,587.51
2477061,WROGN,Bottom Wear,jeans,Men,1539,2799,45% OFF,"28, 30, 32, 34, 36, 38",4,988,45%,OFF,1259.55
10187401,WROGN,Bottom Wear,jeans,Men,1429,2599,45% OFF,"28, 30, 32, 34, 36, 38",4.1,988,45%,OFF,1169.55
6791064,HRX by Hrithik Roshan,Sports Wear,track-pants,Men,759,1899,60% OFF,"S, M, L, XL, XXL",4,988,60%,OFF,1139.4
12918912,Roadster,Topwear,shirts,Men,599,1199,50% OFF,"38, 40, 42, 44, 46, 48",4.3,988,50%,OFF,599.5
11245584,HRX by Hrithik Roshan,Sports Wear,tights,Women,594,1699,65% OFF,"XS, S, M, L, XL, XXL",4,988,65%,OFF,1104.35
8643285,SASSAFRAS,Western,trousers,Women,,1599,50% OFF,"26, 28, 30, 32, 34, 36",3.6,988,50%,OFF,799.5
9451341,her by invictus,Western,tops,Women,,1699,30% OFF,"S, M, L, XL, XXL",4.2,988,30%,OFF,509.7
7526008,StyleStone,Western,jackets,Women,,1999,55% OFF,"S, M, L, XL",4.2,988,55%,OFF,1099.45
11235516,Mayra,Western,tops,Women,,995,58% OFF,"S, M, L, XL",4.1,988,58%,OFF,577.1
10064541,Roadster,Bottom Wear,jeans,Men,799,1999,60% OFF,"28, 30, 32, 34, 36, 38, 40",3.8,987,60%,OFF,1199.4
976816,HRX by Hrithik Roshan,Inner Wear &  Sleep Wear,socks,Men,359,599,40% OFF,Onesize,4.5,987,40%,OFF,239.6
11269190,Moda Rapido,Topwear,tshirts,Men,479,1199,60% OFF,"S, M, L, XL",4.2,987,60%,OFF,719.4
10266495,Moda Rapido,Topwear,tshirts,Men,399,999,60% OFF,"S, M, L, XL",4,987,60%,OFF,599.4
8986005,Harpa,Western,tops,Women,,1199,52% OFF,"S, M, L, XL",4,987,52%,OFF,623.48
10604500,SASSAFRAS,Western,jackets,Women,,1799,65% OFF,"XS, S, M, L, XL, XXL",4.3,987,65%,OFF,1169.35
11045880,Roadster,Western,jeans,Women,,2499,75% OFF,"26, 28, 30, 32, 34, 36",3.7,987,75%,OFF,1874.25
8912653,Kook N Keech Marvel,Western,tshirts,Women,,899,65% OFF,"XS, S, M, L, XL",3.9,987,65%,OFF,584.35
10064487,Roadster,Bottom Wear,jeans,Men,989,2199,55% OFF,"28, 30, 32, 34, 36",3.7,986,55%,OFF,1209.45
2888727,HIGHLANDER,Topwear,shirts,Men,587,1249,53% OFF,"39, 40, 42, 44",4.1,986,53%,OFF,661.97
12150560,plusS,Plus Size,tops,Women,559,1599,65% OFF,"S, M, L, XL, XXL, 3XL, 4XL",4.4,986,65%,OFF,1039.35
2337104,La Zoire,Western,dresses,Women,,2599,62% OFF,"S, M, L, XL",4.3,986,62%,OFF,1611.38
12027772,HIGHLANDER,Topwear,shirts,Men,493,1049,53% OFF,"39, 40, 42, 44",4.2,985,53%,OFF,555.97
2429098,HIGHLANDER,Topwear,shirts,Men,699,999,30% OFF,"39, 40, 42, 44",4,985,30%,OFF,299.7
11530828,anayna,Indian Wear,kurtas,Women,581,1660,65% OFF,"S, M, L, XL, XXL, 3XL",4.3,985,65%,OFF,1079
130968,Enamor,Lingerie & Sleep Wear,bra,Women,,779,,"34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C, 42D",4.4,985,,, 
8350055,Sangria,Plus Size,kurta-sets,Women,2924,4499,35% OFF,"XS, S, M, L, XL, XXL, 3XL",4,985,35%,OFF,1574.65
10856472,Roadster,Western,tops,Women,,1499,60% OFF,"XS, S, M, L, XL",4,985,60%,OFF,899.4
6687412,Roadster,Topwear,shirts,Men,,999,,"38, 40, 42, 44, 46, 48",4,984,,, 
11174094,Sangria,Indian Wear,dresses,Women,799,1999,60% OFF,"XS, S, M, L, XL, XXL, 3XL",4.3,984,60%,OFF,1199.4
13141478,Azira,Indian Wear,kurta-sets,Women,1429,2599,45% OFF,"XS, S, M, L, XL, XXL, 3XL",4.2,984,45%,OFF,1169.55
2439141,Roadster,Western,tshirts,Women,,599,60% OFF,"XS, S, M, L, XL",4.2,984,60%,OFF,359.4
11903990,Roadster,Topwear,shirts,Men,659,1199,45% OFF,"38, 40, 42, 44",4.2,983,45%,OFF,539.55
12337118,Anouk,Indian Wear,kurta-sets,Women,774,3099,75% OFF,"XS, S, M, L, XL, XXL",4.2,983,75%,OFF,2324.25
12650884,HERE&NOW,Plus Size,tops,Women,719,1799,"60% OFF, Hurry*","XS, S, M, L, XL, XXL",4.2,983,60%,OFF,1079.4
8350425,Sangria,Plus Size,kurtas,Women,999,3999,75% OFF,"XS, S, M, L, XL, XXL, 3XL",4.2,983,75%,OFF,2999.25
17381750,Roadster,Western,tshirts,Women,,1998,,"XS, S, M, L, XL",4.2,983,,, 
6832275,WROGN,Bottom Wear,jeans,Men,1539,2799,45% OFF,"28, 30, 32, 34, 36, 38",3.9,982,45%,OFF,1259.55
7256007,Roadster,Topwear,shirts,Men,,524,,"38, 40, 42, 44",4.1,982,,, 
13035312,Tokyo Talkies,Western,trousers,Women,,1549,58% OFF,"28, 30, 32, 34",4,982,58%,OFF,898.42
11045892,Roadster,Western,jeans,Women,,2699,75% OFF,"26, 28, 30, 32, 34, 36",3.8,982,75%,OFF,2024.25
11157486,Taavi,Western,tops,Women,,999, 45 % OFF,"XS, S, M, L, XL",4.4,982,,45,45
11363302,WROGN,Topwear,tshirts,Men,649,1299,50% OFF,"S, M, L, XL, XXL",4.3,981,50%,OFF,649.5
12412864,Varanga,Indian Wear,kurtas,Women,579,1999,71% OFF,"S, M, L, XL, XXL",4.3,981,71%,OFF,1419.29
7569310,Zivame,Lingerie & Sleep Wear,shapewear,Women,746,995,25% OFF,"S, M, L, XL, XXL",3.9,981,25%,OFF,248.75
7102379,HERE&NOW,Plus Size,tops,Women,629,1399,55% OFF,"XS, S, M, L, XL, XXL, 3XL",4.2,981,55%,OFF,769.45
9240973,her by invictus,Western,tops,Women,,1599,35% OFF,"S, M, L, XL, XXL",4.2,981,35%,OFF,559.65
12222046,SASSAFRAS,Western,jackets,Women,,1799,60% OFF,"XS, S, M, L, XL, XXL",4.5,981,60%,OFF,1079.4
7772505,STREET 9,Western,jackets,Women,,1999,50% OFF,"XS, S, M, L, XL",4.3,981,50%,OFF,999.5
11711920,Mast & Harbour,Western,tshirts,Women,,799,60% OFF,"XS, S, M, L, XL",4.3,981,60%,OFF,479.4
9262959,Levis,Inner Wear &  Sleep Wear,briefs,Men,,339,,"S, M, L, XL",4.3,980,,, 
2888743,HIGHLANDER,Topwear,shirts,Men,562,1249,55% OFF,"39, 40, 42, 44",4,980,55%,OFF,686.95
13021502,Anubhutee,Indian Wear,kurta-sets,Women,1597,3399,53% OFF,"S, M, L, XL, XXL",3.9,980,53%,OFF,1801.47
8025483,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,1080,1800,40% OFF,"XS, S, M, L, XL, XXL",4.4,980,40%,OFF,720
9901951,Roadster,Western,sweatshirts,Women,,1199,70% OFF,"XS, S, M, L, XL",4.3,980,70%,OFF,839.3
11709228,Trend Arrest,Western,tops,Women,,1299,30% OFF,"XS, S, M, L",4.4,980,30%,OFF,389.7
11541522,Roadster,Western,jeans,Women,,1699,55% OFF,"26, 28, 30, 32, 34, 36",4.1,980,55%,OFF,934.45
10106025,HRX by Hrithik Roshan,Sports Wear,tshirts,Men,359,899,60% OFF,"S, M, L, XL, XXL",4.3,979,60%,OFF,539.4
2347572,HIGHLANDER,Topwear,shirts,Men,610,1299,53% OFF,"39, 40, 42, 44",3.8,979,53%,OFF,688.47
11263958,Tikhi Imli,Indian Wear,sarees,Women,899,1998,55% OFF,Onesize,4,979,55%,OFF,1098.9
7695835,HRX by Hrithik Roshan,Sports Wear,tights,Women,,1699,,"XS, S, M, L, XL, XXL",4.3,979,,, 
596473,Belle Fille,Western,sweatshirts,Women,,1595,60% OFF,"S, M, L, XL, XXL",3.6,978,60%,OFF,957
